文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[Lambd的动态光源] lambdynamiclights-4.10.2+26.1.2.jar,Lambd的动态光源 (LambDynamicLights),4.10.2+26.1.2,2026/04/21 上午 5:44:47,lambdynlights,yBW8D80W,1336717,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Lambd的动态光源] lambdynamiclights-4.10.2+26.1.2.jar
[JEI物品管理器] jei-26.1.2-fabric-29.6.2.31.jar,JEI物品管理器 (Just Enough Items),29.6.2.31,2026/05/18 下午 9:29:42,jei,u6dRKJwZ,1513607,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[JEI物品管理器] jei-26.1.2-fabric-29.6.2.31.jar
[C^2M 引擎] c2me-fabric-mc26.1.2-0.4.0-alpha.0.4.jar,C^2M 引擎 (C^2M-Engine/Concurrent Chunk Management Engine),0.4.0-alpha.0.4+26.1.2,2026/06/05 下午 4:32:50,c2me,VSNURh3q,3775461,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[C^2M 引擎] c2me-fabric-mc26.1.2-0.4.0-alpha.0.4.jar
[自定义游戏加载界面] drippyloadingscreen_fabric_3.1.3_MC_26.1.1-26.1.2.jar,自定义游戏加载界面 (Drippy Loading Screen),3.1.3,2026/05/16 上午 2:31:24,drippyloadingscreen,v3CYg2V9,295199,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[自定义游戏加载界面] drippyloadingscreen_fabric_3.1.3_MC_26.1.1-26.1.2.jar
[预生成区块] Chunky-Fabric-1.5.3.jar,预生成区块 (Chunky),1.5.3,2026/05/04 下午 1:47:16,chunky,fALzjamp,354095,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[预生成区块] Chunky-Fabric-1.5.3.jar
[亚克力窗口] acrylic-fabric-1.8.1+26.1.jar,亚克力窗口 (AcryliCraft),1.8.1,2026/05/06 下午 9:00:28,acrylic,p0OGmP57,119133,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[亚克力窗口] acrylic-fabric-1.8.1+26.1.jar
[席地而坐] sit-fabric-26.1.1-1.5.1.jar,席地而坐 (Sit),1.5.1,2026/04/07 上午 4:04:53,sit,VKXzIykF,71100,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[席地而坐] sit-fabric-26.1.1-1.5.1.jar
[物理声效重制版] sound-physics-remastered-fabric-1.5.1+26.1.2.jar,物理声效重制版 (Sound Physics Remastered),1.5.1+26.1.2,2026/04/10 下午 1:16:45,sound_physics_remastered,qyVF9oeo,201734,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[物理声效重制版] sound-physics-remastered-fabric-1.5.1+26.1.2.jar
[万用皮肤补丁] CustomSkinLoader_Universal-14.28.jar,万用皮肤补丁 (CustomSkinLoader),14.28,2026/04/05 下午 7:55:19,customskinloader,idMHQ4n2,191666,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[万用皮肤补丁] CustomSkinLoader_Universal-14.28.jar
[投影] litematica-fabric-26.1.2-0.27.6.jar,投影 (Litematica),0.27.6,2026/05/22 上午 11:40:38,litematica,bEpr0Arc,1843952,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[投影] litematica-fabric-26.1.2-0.27.6.jar
